"","Date","Sessions","Pageviews","Users","New_Users","Number_Session","Pages_Session","Avg_S_Duration","Bounce"
"716",2014-02-25,31,99,26,17,1.19230769230769,3.19354838709677,191.58064516129,0.419354838709677
"717",2014-02-26,33,127,23,14,1.43478260869565,3.84848484848485,308.181818181818,0.454545454545455
"718",2014-02-27,43,145,31,21,1.38709677419355,3.37209302325581,445.790697674419,0.534883720930233
"719",2014-02-28,37,83,23,12,1.60869565217391,2.24324324324324,228.081081081081,0.648648648648649
"720",2014-03-01,15,37,13,11,1.15384615384615,2.46666666666667,171.466666666667,0.533333333333333
"721",2014-03-02,18,46,14,11,1.28571428571429,2.55555555555556,132.722222222222,0.611111111111111
"722",2014-03-03,46,92,37,28,1.24324324324324,2,109.195652173913,0.673913043478261
"723",2014-03-04,37,93,28,20,1.32142857142857,2.51351351351351,258.081081081081,0.540540540540541
"724",2014-03-05,49,162,33,22,1.48484848484848,3.30612244897959,266,0.510204081632653
"725",2014-03-06,53,187,41,30,1.29268292682927,3.52830188679245,196.716981132075,0.490566037735849
"726",2014-03-07,34,87,25,16,1.36,2.55882352941176,254.029411764706,0.5
"727",2014-03-08,14,56,11,9,1.27272727272727,4,60,0.642857142857143
"728",2014-03-09,20,49,16,15,1.25,2.45,57,0.6
"729",2014-03-10,33,88,30,22,1.1,2.66666666666667,71.2121212121212,0.515151515151515
"730",2014-03-11,39,120,30,21,1.3,3.07692307692308,158.051282051282,0.58974358974359
"731",2014-03-12,31,71,25,17,1.24,2.29032258064516,119.258064516129,0.548387096774194
"732",2014-03-13,29,80,22,15,1.31818181818182,2.75862068965517,151.241379310345,0.448275862068966
"733",2014-03-14,32,86,24,15,1.33333333333333,2.6875,442.875,0.46875
"734",2014-03-15,17,51,16,11,1.0625,3,54.0588235294118,0.470588235294118
"735",2014-03-16,12,26,10,7,1.2,2.16666666666667,93.3333333333333,0.666666666666667
"736",2014-03-17,25,80,24,18,1.04166666666667,3.2,79.28,0.36
"737",2014-03-18,34,71,24,8,1.41666666666667,2.08823529411765,109.117647058824,0.705882352941177
"738",2014-03-19,36,121,23,12,1.56521739130435,3.36111111111111,168.055555555556,0.611111111111111
"739",2014-03-20,34,55,28,22,1.21428571428571,1.61764705882353,114.941176470588,0.794117647058823
"740",2014-03-21,35,81,29,18,1.20689655172414,2.31428571428571,134.6,0.485714285714286
"741",2014-03-22,24,98,18,13,1.33333333333333,4.08333333333333,174.041666666667,0.583333333333333
"742",2014-03-23,21,69,17,13,1.23529411764706,3.28571428571429,153.047619047619,0.523809523809524
"743",2014-03-24,33,109,27,15,1.22222222222222,3.3030303030303,265.818181818182,0.424242424242424
"744",2014-03-25,28,69,22,14,1.27272727272727,2.46428571428571,236.392857142857,0.464285714285714
"745",2014-03-26,26,102,24,16,1.08333333333333,3.92307692307692,443.307692307692,0.346153846153846
"746",2014-03-27,36,116,27,16,1.33333333333333,3.22222222222222,312.666666666667,0.416666666666667
"747",2014-03-28,23,49,17,10,1.35294117647059,2.1304347826087,175.652173913043,0.478260869565217
"748",2014-03-29,15,29,11,9,1.36363636363636,1.93333333333333,155.8,0.6
"749",2014-03-30,15,49,9,5,1.66666666666667,3.26666666666667,396.866666666667,0.4
"750",2014-03-31,43,96,27,15,1.59259259259259,2.23255813953488,228.906976744186,0.534883720930233
"751",2014-04-01,33,88,24,15,1.375,2.66666666666667,262.333333333333,0.606060606060606
"752",2014-04-02,40,113,31,23,1.29032258064516,2.825,123.425,0.475
"753",2014-04-03,29,102,19,10,1.52631578947368,3.51724137931034,269.275862068966,0.482758620689655
"754",2014-04-04,25,65,20,13,1.25,2.6,181.6,0.64
"755",2014-04-05,15,25,11,8,1.36363636363636,1.66666666666667,65.1333333333333,0.733333333333333
"756",2014-04-06,11,23,8,6,1.375,2.09090909090909,127.909090909091,0.454545454545455
"757",2014-04-07,30,78,28,16,1.07142857142857,2.6,113.966666666667,0.533333333333333
"758",2014-04-08,30,70,26,11,1.15384615384615,2.33333333333333,71.1,0.566666666666667
"759",2014-04-09,25,62,18,10,1.38888888888889,2.48,72.84,0.44
"760",2014-04-10,25,83,20,14,1.25,3.32,135.88,0.6
"761",2014-04-11,17,52,15,13,1.13333333333333,3.05882352941176,141.882352941176,0.411764705882353
"762",2014-04-12,16,56,14,11,1.14285714285714,3.5,97.0625,0.5
"763",2014-04-13,19,62,15,11,1.26666666666667,3.26315789473684,85.2105263157895,0.526315789473684
