"","Date","yhat_lower","yhat_upper","yhat","Sessions","Predicted","Predicted_Lower","Predicted_Upper","MAPE","MAPE_Upper","MAPE_Lower"
"1770",2017-01-15,2.67373487382786,3.44986985158002,3.05373227288085,9,21.194299899939,14.4940014949224,31.496292849235,31.6136812098045,49.1612431599852,48.6073755582065
"1771",2017-01-16,3.59205952976348,4.33109650104266,3.95015088440706,51,51.9432036630745,36.3087779834491,76.027605229746,30.0990785648049,42.0538656798294,46.3668004054835
"1772",2017-01-17,3.55681557801121,4.38408018804309,3.96041146427326,49,52.4789147057944,35.0514007847887,80.1644530683202,33.2086020046475,36.7201052254597,52.7555467138289
"1773",2017-01-18,3.56598553072832,4.31718869096313,3.94493118747837,37,51.672782255318,35.3742986892607,74.9775466686965,31.5417185889578,38.9587376326893,45.1006572439401
"1774",2017-01-19,3.52756686219963,4.30729282143837,3.91262242712858,47,50.0299800694761,34.041040227045,74.2392377788946,31.9587171936255,36.1208676292799,48.3895010067949
"1775",2017-01-20,3.41361199920866,4.20550934265132,3.80259537023518,31,44.81735129974,30.3747599639673,67.0547428102642,32.2254459867121,28.0960497393361,49.6178173533722
"1776",2017-01-21,2.55465282209634,3.35115696869758,2.94071431979595,18,18.9293631028137,12.8668318023048,28.5357294982932,32.0271277357863,69.1928437414022,50.7484923993642
"1777",2017-01-22,2.67975501970193,3.45150224648691,3.06906815159868,23,21.5218382373924,14.5815206730067,31.5477492244042,32.2477916980504,49.8375340542361,46.5848264280357
"1778",2017-01-23,3.55058014766303,4.34989974358524,3.94467102061109,47,51.659340458066,34.8335202120998,77.4706956017152,32.5707221516396,36.950952406993,49.9645464204122
"1779",2017-01-24,3.57609068523171,4.35114294779418,3.93596642381081,54,51.2116181763703,35.7335736502102,77.5670673890507,30.2236974290764,40.9827330099441,51.4638087043326
"1780",2017-01-25,3.52980250539964,4.3022375615055,3.90366198824672,33,49.5836919455478,34.1172289808513,73.8648861543217,31.1926408821707,37.0909271612406,48.9701215380234
"1781",2017-01-26,3.47829549356347,4.25742763144128,3.85690287515897,31,47.3185726633554,32.404441397178,70.6280681561047,31.5185569359476,33.3907276532111,49.2607747460664
"1782",2017-01-27,3.35743148849708,4.12832803252337,3.73497074049901,25,41.8867999583078,28.7153403948199,62.0740503298558,31.4453708008208,24.9277318102121,48.194778287292
"1783",2017-01-28,2.46378783553314,3.22568284300823,2.86383795071873,20,17.5286721840919,11.7492315157116,25.1707559636336,32.9713546336122,88.0995564714553,43.5976193706064
"1784",2017-01-29,2.59182895995544,3.37248857634426,2.98563754035145,12,19.7991209520028,13.3541735299444,29.1509813089341,32.5516846817708,64.409747082625,47.2337149694788
"1785",2017-01-30,3.45763909252589,4.21128570636146,3.85736498312843,34,47.3404440059585,31.7419481793393,67.4431962372589,32.9496187755566,30.3985852532152,42.4642240972017
"1786",2017-01-31,3.46477231381647,4.20589146845869,3.84738482074287,34,46.8703285039941,31.9691800038248,67.0803710542934,31.792285174403,32.1696984229717,43.1190546244562
"1787",2017-02-01,3.42204544844242,4.23062370681391,3.81626941772072,43,45.4343950176207,30.6320071760807,68.7601049484171,32.5796961438559,28.29288002796,51.3393210622701
"1788",2017-02-02,3.38133984697075,4.14125336159015,3.77297759890869,26,43.5094257664716,29.4101498268282,62.8815854429302,32.4051069194029,25.5216396250987,44.5240527430423
"1789",2017-02-03,3.29364127136809,4.02170545297481,3.65655994561209,36,38.7278874168877,26.9407839758023,55.7961824947768,30.4356995108012,21.4114129614789,44.0723628793816
"1790",2017-02-04,2.38005506471803,3.17762945879758,2.79272025995374,15,16.3253687008806,10.8054978492419,23.9898172435802,33.8116152399115,107.110882819373,46.9480884819837
"1791",2017-02-05,2.53950125841698,3.30884969895563,2.92329347514213,14,18.6024533980585,12.6733486683904,27.3536424444238,31.8727030397344,71.3360187375115,47.0431983303804
"1792",2017-02-06,3.37877528228968,4.19143735375868,3.80495586102949,44,44.9232672024858,29.3348222278531,66.1177573009185,34.7001586157343,22.7568234088411,47.1793157939767
