"","ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
"1197",2015-06-21,3.26991458443919,-0.727373082208911,-0.727373082208911,-0.727373082208911,-0.572301603871926,-0.572301603871926,-0.572301603871926,-0.155071478336985,-0.155071478336985,-0.155071478336985,0,0,0,2.12612635253357,2.95006663252251,3.26991458443919,3.26991458443919,2.54254150223028
"1198",2015-06-22,3.26992660747584,0.136029884801038,0.136029884801038,0.136029884801038,0.298205676144069,0.298205676144069,0.298205676144069,-0.162175791343031,-0.162175791343031,-0.162175791343031,0,0,0,2.98315646469641,3.79400112361537,3.26992660747584,3.26992660747584,3.40595649227688
"1199",2015-06-23,3.26993863051249,0.143973824098145,0.143973824098145,0.143973824098145,0.311844821127064,0.311844821127064,0.311844821127064,-0.167870997028919,-0.167870997028919,-0.167870997028919,0,0,0,3.05453788946742,3.82715331521724,3.26993863051249,3.26993863051249,3.41391245461063
"1200",2015-06-24,3.26995065354913,0.111487449769993,0.111487449769993,0.111487449769993,0.283559671100114,0.283559671100114,0.283559671100114,-0.172072221330121,-0.172072221330121,-0.172072221330121,0,0,0,2.93797751145298,3.78981872450869,3.26995065354913,3.26995065354913,3.38143810331913
"1201",2015-06-25,3.26996267658578,0.0643110903815658,0.0643110903815658,0.0643110903815658,0.239038137586805,0.239038137586805,0.239038137586805,-0.174727047205239,-0.174727047205239,-0.174727047205239,0,0,0,2.921335481603,3.7483090019924,3.26996267658578,3.26996267658578,3.33427376696735
"1202",2015-06-26,3.26997469962243,-0.0385615771389065,-0.0385615771389065,-0.0385615771389065,0.137254940153919,0.137254940153919,0.137254940153919,-0.175816517292825,-0.175816517292825,-0.175816517292825,0,0,0,2.81351138073742,3.59626825452215,3.26997469962243,3.26997469962243,3.23141312248352
"1203",2015-06-27,3.26998672265908,-0.872956876543039,-0.872956876543039,-0.872956876543039,-0.697601642239949,-0.697601642239949,-0.697601642239949,-0.17535523430309,-0.17535523430309,-0.17535523430309,0,0,0,2.0102558805284,2.8287374785624,3.26998672265908,3.26998672265908,2.39702984611604
"1204",2015-06-28,3.26999874569573,-0.745692166227491,-0.745692166227491,-0.745692166227491,-0.572301603872976,-0.572301603872976,-0.572301603872976,-0.173390562354515,-0.173390562354515,-0.173390562354515,0,0,0,2.14597054686482,2.90854569376205,3.26999874569573,3.26999874569573,2.52430657946823
"1205",2015-06-29,3.27001076873237,0.128204717717134,0.128204717717134,0.128204717717134,0.298205676143407,0.298205676143407,0.298205676143407,-0.170000958426273,-0.170000958426273,-0.170000958426273,0,0,0,3.01197513543432,3.80720043980215,3.27001076873237,3.27001076873237,3.39821548644951
"1206",2015-06-30,3.27002279176902,0.146551332999456,0.146551332999456,0.146551332999456,0.311844821127639,0.311844821127639,0.311844821127639,-0.165293488128182,-0.165293488128182,-0.165293488128182,0,0,0,3.04595617326884,3.83282059248746,3.27002279176902,3.27002279176902,3.41657412476848
"1207",2015-07-01,3.27003481480567,0.124159067752214,0.124159067752214,0.124159067752214,0.283559671100113,0.283559671100113,0.283559671100113,-0.159400603347899,-0.159400603347899,-0.159400603347899,0,0,0,2.99474857569552,3.78462201071882,3.27003481480567,3.27003481480567,3.39419388255788
"1208",2015-07-02,3.27004683784232,0.0865618572609531,0.0865618572609531,0.0865618572609531,0.239038137586697,0.239038137586697,0.239038137586697,-0.152476280325744,-0.152476280325744,-0.152476280325744,0,0,0,2.96462664693822,3.76616646031956,3.27004683784232,3.27004683784232,3.35660869510327
"1209",2015-07-03,3.27005886087896,-0.00743669455479343,-0.00743669455479343,-0.00743669455479343,0.137254940153822,0.137254940153822,0.137254940153822,-0.144691634708615,-0.144691634708615,-0.144691634708615,0,0,0,2.87410716080563,3.65500100391966,3.27005886087896,3.27005886087896,3.26262216632417
