"","month","yhat_lower","yhat_upper","yhat","Web_Metric","Results","Number","All_Mape","MAPE_Number"
"67",7,94.7983881164701,118.757898917207,106.792731073308,"Sessions","Predicted",1053.54793204394,"MAPE_Lower",1460.79662738987
"68",8,96.621967435903,121.009570875358,108.692341548441,"Sessions","Predicted",1107.05651658861,"MAPE_Lower",1513.06616524599
"69",9,97.4256018998969,120.822534613026,109.143392935317,"Sessions","Predicted",1238.32209618095,"MAPE_Lower",1428.3988219892
"70",10,100.447449032117,124.629615534396,112.539630480442,"Sessions","Predicted",1260.39927195873,"MAPE_Lower",1479.14031535024
"71",11,96.6770597225695,120.084103426534,108.391404690814,"Sessions","Predicted",1194.01157793007,"MAPE_Lower",1430.44507238996
"72",12,89.5263606071763,113.596602598418,101.52730842728,"Sessions","Predicted",892.192816226544,"MAPE_Lower",1476.08075845846
"73",1,97.4610771898614,121.554758390662,109.481877574509,"Sessions","Predicted_Lower",781.735089077389,"MAPE_Lower",1476.84925324192
"74",2,88.0667645933702,110.028243227124,99.1350132584911,"Sessions","Predicted_Lower",699.745976080155,"MAPE_Lower",1331.99895055955
"75",3,97.8004889149823,121.962989223717,109.836610544696,"Sessions","Predicted_Lower",778.307570422212,"MAPE_Lower",1484.66889834612
"76",4,92.3235855852039,115.589227280253,103.919992908664,"Sessions","Predicted_Lower",706.697852874353,"MAPE_Lower",1426.88208731504
"77",5,97.9539695226687,122.079392935996,109.98435138437,"Sessions","Predicted_Lower",783.689716026174,"MAPE_Lower",1480.08097681453
"78",6,93.0245913405481,116.349089075334,104.787804606346,"Sessions","Predicted_Lower",715.217528657241,"MAPE_Lower",1411.12949310766
"79",7,94.7983881164701,118.757898917207,106.792731073308,"Sessions","Predicted_Lower",716.158355255756,"MAPE_Lower",1460.79662738987
"80",8,96.621967435903,121.009570875358,108.692341548441,"Sessions","Predicted_Lower",750.990531287907,"MAPE_Lower",1513.06616524599
"81",9,97.4256018998969,120.822534613026,109.143392935317,"Sessions","Predicted_Lower",838.352330543399,"MAPE_Lower",1428.3988219892
"82",10,100.447449032117,124.629615534396,112.539630480442,"Sessions","Predicted_Lower",853.102489970697,"MAPE_Lower",1479.14031535024
"83",11,96.6770597225695,120.084103426534,108.391404690814,"Sessions","Predicted_Lower",808.568503250537,"MAPE_Lower",1430.44507238996
"84",12,89.5263606071763,113.596602598418,101.52730842728,"Sessions","Predicted_Lower",605.56945968084,"MAPE_Lower",1476.08075845846
"85",1,97.4610771898614,121.554758390662,109.481877574509,"Sessions","Predicted_Upper",1701.29481897709,"MAPE_Lower",1476.84925324192
"86",2,88.0667645933702,110.028243227124,99.1350132584911,"Sessions","Predicted_Upper",1537.07690658398,"MAPE_Lower",1331.99895055955
"87",3,97.8004889149823,121.962989223717,109.836610544696,"Sessions","Predicted_Upper",1698.55132085082,"MAPE_Lower",1484.66889834612
"88",4,92.3235855852039,115.589227280253,103.919992908664,"Sessions","Predicted_Upper",1535.29042351998,"MAPE_Lower",1426.88208731504
"89",5,97.9539695226687,122.079392935996,109.98435138437,"Sessions","Predicted_Upper",1706.64946696697,"MAPE_Lower",1480.08097681453
"90",6,93.0245913405481,116.349089075334,104.787804606346,"Sessions","Predicted_Upper",1555.76777078362,"MAPE_Lower",1411.12949310766
"91",7,94.7983881164701,118.757898917207,106.792731073308,"Sessions","Predicted_Upper",1551.10413209964,"MAPE_Lower",1460.79662738987
"92",8,96.621967435903,121.009570875358,108.692341548441,"Sessions","Predicted_Upper",1646.68397379268,"MAPE_Lower",1513.06616524599
"93",9,97.4256018998969,120.822534613026,109.143392935317,"Sessions","Predicted_Upper",1828.68411763153,"MAPE_Lower",1428.3988219892
"94",10,100.447449032117,124.629615534396,112.539630480442,"Sessions","Predicted_Upper",1864.48032922112,"MAPE_Lower",1479.14031535024
"95",11,96.6770597225695,120.084103426534,108.391404690814,"Sessions","Predicted_Upper",1763.7721189286,"MAPE_Lower",1430.44507238996
"96",12,89.5263606071763,113.596602598418,101.52730842728,"Sessions","Predicted_Upper",1314.22922340548,"MAPE_Lower",1476.08075845846
"97",1,97.4610771898614,121.554758390662,109.481877574509,"Sessions","Actual",1064,"MAPE_Upper",1337.92606205946
"98",2,88.0667645933702,110.028243227124,99.1350132584911,"Sessions","Actual",814,"MAPE_Upper",1156.18126534745
"99",3,97.8004889149823,121.962989223717,109.836610544696,"Sessions","Actual",950,"MAPE_Upper",1252.18534228824
"100",4,92.3235855852039,115.589227280253,103.919992908664,"Sessions","Actual",978,"MAPE_Upper",1336.16994660239
"101",5,97.9539695226687,122.079392935996,109.98435138437,"Sessions","Actual",980,"MAPE_Upper",1277.7461496015
"102",6,93.0245913405481,116.349089075334,104.787804606346,"Sessions","Actual",670,"MAPE_Upper",1238.8137237253
"103",7,94.7983881164701,118.757898917207,106.792731073308,"Sessions","Actual",782,"MAPE_Upper",1403.76136836933
"104",8,96.621967435903,121.009570875358,108.692341548441,"Sessions","Actual",973,"MAPE_Upper",1287.73818156816
"105",9,97.4256018998969,120.822534613026,109.143392935317,"Sessions","Actual",852,"MAPE_Upper",1303.45915520582
"106",10,100.447449032117,124.629615534396,112.539630480442,"Sessions","Actual",814,"MAPE_Upper",1302.07142880867
"107",11,96.6770597225695,120.084103426534,108.391404690814,"Sessions","Actual",956,"MAPE_Upper",1261.48361798085
"108",12,89.5263606071763,113.596602598418,101.52730842728,"Sessions","Actual",759,"MAPE_Upper",1455.95679272395
"109",1,97.4610771898614,121.554758390662,109.481877574509,"Sessions","Predicted",1150.98729449448,"MAPE_Upper",1337.92606205946
"110",2,88.0667645933702,110.028243227124,99.1350132584911,"Sessions","Predicted",1040.35453712626,"MAPE_Upper",1156.18126534745
"111",3,97.8004889149823,121.962989223717,109.836610544696,"Sessions","Predicted",1147.55462102359,"MAPE_Upper",1252.18534228824
